project,lang,lines,lo-code,lo-comment,number-comments,todo,todo-lines,class,class-lines,method,method-lines,header,header-lines,other,other-lines,stars,forks,size,subscribers,contributors,avg-len
airflow,py,198884,33917,164967,11190,4,4,790,14257,1929,7875,7834,135778,633,7053,15237,5759,53353,669,,670.3056300268098
ansible,py,1786159,1015252,770907,78418,16,16,1189,2466,9213,26798,62896,644128,5104,97499,41261,17924,197990,2024,,382.5798413629523
django,py,293604,240490,53114,28425,4,4,1049,3265,5994,18360,1962,8698,19416,22787,46401,20014,193648,2215,,92.40175901495165
flask,py,13310,9485,3825,1240,0,0,45,493,264,1968,861,1150,70,214,48329,13175,7536,2287,,126.12903225806451
httpie,py,5620,4531,1089,491,12,12,38,117,55,230,83,164,303,566,45315,2937,5609,1093,,85.4378818737271
spaCy,py,113033,85420,27613,4270,3,3,26,118,468,1327,3261,8654,512,17511,15483,2726,166245,558,,150.89461358313818
keras,py,64507,43408,21099,6213,20,20,226,6152,608,5933,725,816,4634,8178,46357,17568,13334,2077,,136.6013198132947
pandas,py,346242,253633,92609,29862,1018,1018,299,4397,2884,35219,2206,6766,23455,45209,22977,9146,177993,1035,,104.15504654745159
scrapy,py,32094,26317,5777,2072,8,8,135,542,466,1610,374,2253,1089,1364,35692,8274,18169,1836,,124.1969111969112
scikit-learn,py,200389,72341,128048,19896,193,193,419,22689,1817,23651,3865,27787,13602,53728,38859,18999,114821,2256,,261.80352834740654
spring-boot,java,406582,291370,115212,14617,0,0,3193,17455,4765,24460,4922,68911,1737,4386,44761,28352,113004,3359,,318.98152835739205
RxJava,java,369438,304155,65283,5370,0,0,574,5277,2717,39934,1747,19412,332,660,41615,6980,107673,2325,,687.1927374301678
mockito,java,67773,49415,18358,4525,54,54,269,2866,816,8931,910,2730,2476,3777,9948,1775,46126,415,,170.25812154696132
dubbo,java,214988,167335,47653,6686,24,24,1026,3669,2485,10319,2067,31014,1084,2627,30813,20213,27173,3270,,336.3487885133114
jmeter,java,210262,155964,54298,9420,42,42,921,4655,6333,26478,1362,21791,762,1332,3775,1214,87927,302,,248.46624203821656
guava,java,689695,548296,141399,20281,196,196,2477,16999,11851,72357,3161,42368,2596,9479,35548,7954,270294,2472,,346.1114343474188
zxing,java,60007,47537,12470,1724,0,0,458,1948,526,2590,499,7001,241,931,24526,8533,239998,1675,,309.39211136890947
fastjson,java,184605,171993,12612,4686,43,43,558,1544,694,2344,228,2964,3163,5717,20431,5526,13735,1351,,132.13252240717028
elasticsearch,java,1865479,1607316,258163,50498,585,585,4723,18631,18878,72706,12191,147519,14121,18722,46503,15733,696193,2800,,257.6000039605529
okhttp,java,41068,38230,2838,563,1,1,47,93,242,420,158,2215,115,109,35581,7745,31780,1655,,244.25222024866784
tornado,py,36451,3003,33448,4346,6,6,140,2017,365,2177,2109,24877,1726,4371,18734,5129,8756,1072,,316.74689369535207
